sbatch_run,rule_name,snakemake_jobid,slurm_jobid,submit_time,finish_time,status,mem_mb,runtime_min,cpus,wildcards,actual_duration_min,pct_runtime_used,cpu_efficiency,error_type,error_msg,log_path
run-1,get_chemical_pubchem_mesh_concord,48,74187,2025-12-08 21:14,2025-12-08 21:14,success,64000,120,4,,0.7,0.6,,,,babel_outputs/logs/rule_get_chemical_pubchem_mesh_concord/74187.log
run-1,get_mesh_labels,49,74176,2025-12-08 21:11,2025-12-08 21:14,success,64000,120,4,,2.7,2.2,,,,babel_outputs/logs/rule_get_mesh_labels/74176.log
run-1,get_chemical_mesh_relationships,50,74185,2025-12-08 21:14,2025-12-08 21:16,success,64000,120,4,,2.0,1.7,,,,babel_outputs/logs/rule_get_chemical_mesh_relationships/74185.log
run-1,chemical_mesh_ids,51,74178,2025-12-08 21:11,2025-12-08 21:14,success,64000,120,4,,2.7,2.2,,,,babel_outputs/logs/rule_chemical_mesh_ids/74178.log
run-1,get_chemical_pubchem_cas_concord,52,74186,2025-12-08 21:14,2025-12-08 21:16,success,64000,120,4,,2.0,1.7,,,,babel_outputs/logs/rule_get_chemical_pubchem_cas_concord/74186.log
run-1,get_gtopdb_inchikey_concord,53,74145,2025-12-08 21:10,2025-12-08 21:10,success,64000,120,4,,0.7,0.6,,,,babel_outputs/logs/rule_get_gtopdb_inchikey_concord/74145.log
run-1,get_chebi_concord,54,74152,2025-12-08 21:10,2025-12-08 21:11,success,64000,120,4,,0.7,0.6,,,,babel_outputs/logs/rule_get_chebi_concord/74152.log
run-1,get_chebi,55,74111,2025-12-08 21:09,2025-12-08 21:10,success,64000,120,4,,0.6,0.5,,,,babel_outputs/logs/rule_get_chebi/74111.log
run-1,get_chemical_umls_relationships,56,74206,2025-12-08 21:23,2025-12-08 21:24,success,64000,120,4,,1.3,1.1,,,,babel_outputs/logs/rule_get_chemical_umls_relationships/74206.log
run-1,chemical_umls_ids,57,74201,2025-12-08 21:22,2025-12-08 21:23,success,64000,120,4,,0.7,0.6,,,,babel_outputs/logs/rule_chemical_umls_ids/74201.log
run-1,get_chemical_drugcentral_relationships,58,74174,2025-12-08 21:10,2025-12-08 21:11,success,64000,120,4,,0.6,0.5,,,,babel_outputs/logs/rule_get_chemical_drugcentral_relationships/74174.log
run-1,get_chemical_rxnorm_relationships,59,74180,2025-12-08 21:11,2025-12-08 21:12,success,64000,120,4,,0.7,0.6,,,,babel_outputs/logs/rule_get_chemical_rxnorm_relationships/74180.log
run-1,chemical_rxnorm_ids,60,74161,2025-12-08 21:10,2025-12-08 21:11,success,64000,120,4,,0.7,0.5,,,,babel_outputs/logs/rule_chemical_rxnorm_ids/74161.log
run-1,download_rxnorm,61,74068,2025-12-08 21:09,2025-12-08 21:10,success,64000,120,4,,1.2,1.0,,,,babel_outputs/logs/rule_download_rxnorm/74068.log
run-1,chemical_chembl_ids,62,74275,2025-12-08 21:39,2025-12-08 21:40,success,64000,120,4,,0.7,0.6,,,,babel_outputs/logs/rule_chemical_chembl_ids/74275.log
run-1,chemical_gtopdb_ids,63,74147,2025-12-08 21:10,2025-12-08 21:10,success,64000,120,4,,0.7,0.6,,,,babel_outputs/logs/rule_chemical_gtopdb_ids/74147.log
run-1,chemical_kegg_ids,64,74189,2025-12-08 21:16,2025-12-08 21:17,success,64000,120,4,,0.7,0.6,,,,babel_outputs/logs/rule_chemical_kegg_ids/74189.log
run-1,chemical_chebi_ids,65,74159,2025-12-08 21:10,—,failed,64000,120,4,,,,,HTTPError,HTTP Error 503: Service Temporarily Unavailable,babel_outputs/logs/rule_chemical_chebi_ids/74159.log
run-1,chemical_unii_ids,66,74143,2025-12-08 21:10,2025-12-08 21:10,success,64000,120,4,,0.7,0.6,,,,babel_outputs/logs/rule_chemical_unii_ids/74143.log
run-1,chemical_pubchem_ids,68,74188,2025-12-08 21:16,2025-12-08 21:22,success,64000,120,4,,6.7,5.6,,,,babel_outputs/logs/rule_chemical_pubchem_ids/74188.log
run-1,get_pubchem_structures,69,74078,2025-12-08 21:09,2025-12-08 21:11,success,64000,120,4,,1.9,1.6,,,,babel_outputs/logs/rule_get_pubchem_structures/74078.log
run-1,chemical_drugcentral_ids,70,74171,2025-12-08 21:10,2025-12-08 21:11,success,64000,120,4,,0.7,0.5,,,,babel_outputs/logs/rule_chemical_drugcentral_ids/74171.log
run-1,chemical_drugbank_ids,71,74270,2025-12-08 21:37,2025-12-08 21:39,success,64000,120,4,,1.5,1.2,,,,babel_outputs/logs/rule_chemical_drugbank_ids/74270.log
run-1,get_disease_obo_relationships,82,74070,2025-12-08 21:09,2025-12-08 21:10,success,64000,120,4,,1.2,1.0,,,,babel_outputs/logs/rule_get_disease_obo_relationships/74070.log
run-1,get_doid_labels_and_synonyms,83,74153,2025-12-08 21:10,2025-12-08 21:11,success,64000,120,4,,0.7,0.6,,,,babel_outputs/logs/rule_get_doid_labels_and_synonyms/74153.log
run-1,get_doid,84,74116,2025-12-08 21:10,2025-12-08 21:10,success,64000,120,4,,0.7,0.6,,,,babel_outputs/logs/rule_get_doid/74116.log
run-1,get_orphanet_labels_and_synonyms,85,74138,2025-12-08 21:10,2025-12-08 21:10,success,64000,120,4,,0.7,0.6,,,,babel_outputs/logs/rule_get_orphanet_labels_and_synonyms/74138.log
run-1,get_orphanet,86,74093,2025-12-08 21:09,2025-12-08 21:10,success,64000,120,4,,0.6,0.5,,,,babel_outputs/logs/rule_get_orphanet/74093.log
run-1,get_EFO_labels,87,74156,2025-12-08 21:10,2025-12-08 21:11,success,64000,120,4,,0.7,0.6,,,,babel_outputs/logs/rule_get_EFO_labels/74156.log
run-1,get_EFO,88,74102,2025-12-08 21:09,2025-12-08 21:10,success,64000,120,4,,0.6,0.5,,,,babel_outputs/logs/rule_get_EFO/74102.log
run-1,get_mesh_synonyms,89,74094,2025-12-08 21:09,2025-12-08 21:10,success,64000,120,4,,0.6,0.5,,,,babel_outputs/logs/rule_get_mesh_synonyms/74094.log
run-1,get_disease_umls_relationships,90,74205,2025-12-08 21:23,2025-12-08 21:24,success,64000,120,4,,1.3,1.1,,,,babel_outputs/logs/rule_get_disease_umls_relationships/74205.log
run-1,disease_umls_ids,91,74196,2025-12-08 21:22,2025-12-08 21:23,success,64000,120,4,,0.7,0.6,,,,babel_outputs/logs/rule_disease_umls_ids/74196.log
run-1,disease_omim_ids,92,74133,2025-12-08 21:10,2025-12-08 21:10,success,64000,120,4,,0.7,0.6,,,,babel_outputs/logs/rule_disease_omim_ids/74133.log
run-1,get_omim,93,74108,2025-12-08 21:09,2025-12-08 21:10,success,64000,120,4,,0.6,0.5,,,,babel_outputs/logs/rule_get_omim/74108.log
run-1,disease_ncit_ids,94,74113,2025-12-08 21:09,2025-12-08 21:10,success,64000,120,4,,1.3,1.1,,,,babel_outputs/logs/rule_disease_ncit_ids/74113.log
run-1,get_disease_doid_relationships,95,74168,2025-12-08 21:10,2025-12-08 21:11,success,64000,120,4,,0.7,0.5,,,,babel_outputs/logs/rule_get_disease_doid_relationships/74168.log
run-1,get_disease_efo_relationships,96,74170,2025-12-08 21:10,2025-12-08 21:11,success,64000,120,4,,0.7,0.5,,,,babel_outputs/logs/rule_get_disease_efo_relationships/74170.log
run-1,disease_efo_ids,97,74137,2025-12-08 21:10,2025-12-08 21:10,success,64000,120,4,,0.7,0.6,,,,babel_outputs/logs/rule_disease_efo_ids/74137.log
run-1,disease_manual_concord,98,74074,2025-12-08 21:09,—,failed,64000,120,4,,,,,RuntimeError,Found 1 elements on line UMLS:C0011847 oio:exactMatch MONDO:0005148,babel_outputs/logs/rule_disease_manual_concord/74074.log
run-1,disease_mondo_ids,99,74082,2025-12-08 21:09,2025-12-08 21:10,success,64000,120,4,,0.6,0.5,,,,babel_outputs/logs/rule_disease_mondo_ids/74082.log
